id,category,item,value,unit,source,page,confidence,note
SP-017,Engine,Intake port timing,"opens 32 deg ATDC, closes 40 deg ABDC",,"S-002,S-003",S-002 p.1-3; S-003 T:1,primary,Primary port; 1985 12A and 1980 12A agree.
SP-018,Engine,Idle speed (A/T),750 in 'D',rpm,"S-002,S-006,S-003",S-002 p.0-8 and 0-17; S-006 PDF p.37 (printed 47); S-003 T:3,primary,"Set with idle-compensator tube disconnected and plugged, accessories off, engine warm, dash pot/throttle opener clear of idle stop. M/T 750 rpm in neutral. 1980 spec was 750 +/-25."
SP-019,Engine,Oil pressure at idle,90-270 (12.8-38.4),kPa (psi),"S-002,S-003",S-002 p.2-5; S-003 T:2,primary,"1980 FSM: 0.9-2.7 kg/cm2 (13-38 psi). Measured at rear-housing gauge port with engine warm, A/T in 'D'."
SP-020,Engine,Oil pressure at 3000 rpm,450-550 (64-79),kPa (psi),"S-002,S-003",S-002 p.2-5; S-003 T:1,primary,1980 FSM: 4.5-5.5 kg/cm2 (64-78 psi).
SP-021,Engine,Oil pressure control valve opening,900 (128),kPa (psi),S-002,p.2-3,primary,Oil filter relief valve opens 100 kPa (14 psi). 1980 FSM (S-003 T:2) lists regulator 5.0 kg/cm2 and front-cover control valve 11.0 kg/cm2.
SP-022,Engine,Oil pump type,"Trochoid, chain driven",,"S-002,S-003",S-002 p.2-3; S-003 T:1,primary,1980 FSM: 5.0 L/min at 1000 rpm; chain slack limit 12 mm.
SP-023,Engine,Engine oil grade,"API SD, SE or SF",,"S-002,S-003",S-002 p.2-3; S-003 T:2,primary,"Viscosity by temperature: 10W-30 (0 to 85 F), 10W-40 (0 to 100 F), 10W-50, 20W-40, 20W-50 (above 15 F), 5W-30 below 0 F (S-002 p.2-3 chart; S-003 T:2)."
SP-024,Engine,Oil metering pump delivery,2.0-2.5 cc per 6 min at 2000 rpm,,S-003,T:2,primary,1980 spec; metering pump feeds engine oil into the carburettor for apex-seal lubrication.
SP-025,Engine,Alternator/fan belt deflection,13-17 (0.51-0.67) at 10 kg (22 lb) push,mm (in),S-002,p.3-3,primary,Measured midway between alternator and eccentric-shaft pulleys. 1980 spec 15 +/-2 mm (S-003 T:1). Air-pump belt 11-13 mm.
SP-026,Engine,Eccentric shaft to alternator pulley ratio,1 : 1.82,,S-003,T:3,primary,1980 spec; useful for alternator rpm at idle (750 x 1.82 = about 1365 alternator rpm).
SP-027,Fuel,Fuel tank capacity,63 (16.6 US gal per brochure; 16.4 US gal per 1985 FSM),L,"S-004,S-006,S-002",S-004 p.15; S-006 PDF p.21 (printed 27); S-002 p.4A-16,primary,Enlarged from 55 L (14.5 gal) for 1981. Both gallon figures are conversions of 63 L.
SP-028,Fuel,Fuel pump type,"Electric, relay controlled (fuel pump cut relay)",,"S-004,S-001,S-002",S-004 p.14; S-001 PDF p.12-14 (sect B); S-002 p.4A-6,primary,Fed by 10A FUEL PUMP fuse (BLg wire) from the IG (BW) circuit; wiring diagram section B shows the pump and control circuit.
SP-029,Fuel,"Fuel pump pressure (1985 FSM, 12A)",20-25 (2.84-3.54),kPa (psi),S-002,p.4A-16,primary,Feeding capacity 1400 cc/min or more. DISAGREES with 1980 value below - both kept.
SP-030,Fuel,Fuel pump pressure (1980 FSM),0.26-0.33 (3.7-4.1),kg/cm2 (psi),S-003,T:2,primary,1980 spec for the same style Nikki carburettor; carburettor-safe range is about 3-4 psi either way.
SP-031,Fuel,Carburettor,"Nikki downdraft, 2-stage 4-barrel, 28 x 34 mm throat (pri x sec)",,"S-002,S-004,S-003",S-002 p.4A-16; S-004 p.14; S-003 T:2,primary,"Venturi primary 20 x 13 x 6.5 mm, secondary 28 x 10 mm. 1985 A/T jets: primary main #91, secondary #160; 1980 primary main #93."
SP-032,Fuel,Fuel filter,"Cartridge, paper element",,"S-002,S-003",S-002 p.4A-16; S-003 T:2,primary,
SP-033,Fuel,Dash pot setting speed,3800-4200 (in neutral),rpm,S-002,p.4A-16,primary,1985 spec. Throttle opener (A/C) 1150-1250 rpm.
SP-034,Fuel,Choke,"Semi-automatic (manual choke knob), with choke and check relay",,"S-004,S-001",S-004 p.15; S-001 PDF p.10,primary,Alternator L terminal (WB) feeds the choke and check relay (wiring section B).
SP-035,Ignition,Ignition system type,"Breakerless (contactless igniter) distributor, twin coils leading/trailing, igniters on distributor housing",,"S-002,S-018,S-001",S-002 p.5-3; S-018; S-001 PDF p.12,primary,"12 V negative ground. 1981+ 4-electrode plugs, both plugs fired at all times (S-016)."
SP-036,Ignition,"Ignition timing, leading",0 deg TDC (yellow mark),deg,"S-006,S-002,S-003",S-006 PDF p.37 (printed 47); S-002 p.5-36 and 1-3; S-003 T:3,primary,"At idle, timing light on front leading plug lead, indicator pin on front cover. 1980 tolerance 0 +/-1 deg."
SP-037,Ignition,"Ignition timing, trailing",20 deg ATDC (red mark),deg,"S-006,S-002,S-003",S-006 PDF p.37 (printed 47); S-002 p.5-36 and 1-3; S-003 T:3,primary,1980 tolerance 20 +/-2 deg.
SP-038,Ignition,Spark plug type,"NGK BR8EQ14 standard (BR7EQ14 hotter, BR9EQ14 colder); Nippon Denso W25EDR14 (W22EDR14 / W27EDR14)",,"S-006,S-002,S-017,S-005",S-006 PDF p.37 (printed 47); S-002 p.0-16; S-017; S-005 group 1800A,primary,"Resistor, 4-electrode. Use anti-seize on first threads (S-002 p.0-16)."
SP-039,Ignition,Spark plug gap,1.4 +/-0.05 (0.055 +/-0.002),mm (in),"S-006,S-002,S-017",S-006 PDF p.37 (printed 47); S-002 p.0-16 and 5-3,primary,1980 2-electrode plugs (BR7ET etc.) used 1.05 mm - do not use the 1980 figure.
SP-040,Ignition,Spark plug tightening torque,13-18 (9-13),N-m (ft-lb),"S-002,S-003",S-002 p.5-32; S-003 T:7,primary,
SP-041,Ignition,Distributor pick-up coil resistance (1981 spec),1050 +/-10%,ohm,S-006,PDF p.37 (printed 47),primary,DISAGREES with 1985 value below; the 1981-82 distributor/igniter differs from 1985. Check the car's own unit.
SP-042,Ignition,Distributor pick-up coil resistance (1985 spec),650 +/-50 at 20 C,ohm,S-002,p.5-34,primary,Both leading and trailing pick-ups.
SP-043,Ignition,Ignition coil primary resistance (1985 spec),1.35 +/-10%,ohm,S-002,p.5-37,primary,Same for leading and trailing coils; measure warm. 1980 coils (LB-84 / FTC-3) were 0.9 +/-0.09 ohm (S-003 T:3) - 1982 coil (part 1480-18-100 / 8245-18-100) to be measured.
SP-044,Ignition,High-tension lead resistance limit,16000 +/-40% max,ohm,S-002,p.5-37,primary,
SP-045,Ignition,Distributor air gap,0.2-0.6 (0.008-0.024),mm (in),S-003,T:3,primary,1980 spec; 1985 FSM p.5-34 also checks air gap with feeler gauge.
SP-046,Ignition,"Centrifugal advance, 12A (1985 spec)",T and L: 0 deg at 500 distributor rpm; 12.5 deg at 2063 distributor rpm,,S-002,p.5-3,primary,"1980 spec: 0 deg at 500, max 10 deg at 1500 (S-003 T:3). Distributor turns at eccentric-shaft speed on a rotary - values are distributor rpm."
SP-047,Ignition,"Vacuum advance, 12A (1985 spec)","T: 0 deg at 100 mmHg, 15 deg at 400 mmHg; L: 0 deg at 100 mmHg, 4.5 deg at 190 mmHg",,S-002,p.5-3,primary,"1980 spec: L 0 at -100, 7.5 at -400 mmHg; T 0 at -200, 15 at -400 mmHg (S-003 T:3)."
SP-048,Ignition,Ignition (IG) feed protection,0.5 sq mm fusible link on BW wire from ignition switch IG terminal,,S-001,PDF p.9 and p.10,primary,"Ignition system box on the schematic is fed unfused from BW after this link; the 15A ENGINE fuse feeds emission control, charging (IG side) and A/T kick-down."
SP-049,Ignition,Tachometer signal,YG wire from trailing (T) ignition coil to cluster tachometer,,S-001,PDF p.16 (sect C),primary,
SP-050,Cooling,Coolant capacity (with heater),9.5 (10.0 US qt),L,"S-002,S-003",S-002 p.3-2; S-003 T:2,primary,1980 FSM: 8.5 L (9.0 qt) without heater.
SP-051,Cooling,Thermostat,"wax type; starts 80.5-83.5 C (177-183 F), full open 95 C (203 F), lift 8 mm min",,S-002,p.3-2,primary,"1980 FSM: starts 82 +/-1.5 C, full open 95 C, lift 8-10 mm (S-003 T:2)."
SP-052,Cooling,Radiator cap valve pressure,75-105 (11-15),kPa (psi),"S-002,S-003",S-002 p.3-2; S-003 T:2,primary,1980 FSM: 0.9 +/-0.15 kg/cm2 (13 +/-2 psi). System pressure test max 1.05 kg/cm2 (15.13 psi) (S-002 p.0-16).
SP-053,Cooling,Radiator,"Corrugated-fin, with expansion (coolant recovery) tank",,"S-002,S-003",S-002 p.3-2; S-003 T:2,primary,
SP-054,Cooling,Cooling fan (1985 spec),"390 mm (15.4 in) x 8 blades, thermo-modulated (viscous) fan clutch",,S-002,p.3-2,primary,"1980 FSM: 410 mm, 7 blades, fan clutch 1400 +/-200 rpm at 4200 engine rpm (S-003 T:2). 1982 fan to be confirmed on the car."
SP-055,Cooling,Water pump,"Centrifugal, V-belt driven; 150-160 L/min at 6500 engine rpm (1980 spec)",,"S-002,S-003",S-002 p.3-2; S-003 T:2,primary,
SP-056,Cooling,Antifreeze,Ethylene-glycol base; increase concentration when below -29 C (-20 F),,S-002,p.3-2,primary,
SP-057,Cooling,Sub-zero starting assist,"Reservoir of 90% antifreeze / 10% water, electric pump (except California)",,"S-003,S-001",S-003 T:3; S-001 PDF p.10,primary,Sub-zero motor and sensor shown on wiring section A (BW/BLg wires).
SP-058,Electrical,System voltage,"12 V, negative ground",V,"S-002,S-004",S-002 p.5-3; S-004 p.14,primary,
SP-059,Electrical,Battery capacity (1982 brochure),45 Ah; 55 Ah with automatic transmission (except California),Ah,S-004,p.14,primary,A GS automatic Federal car therefore left the factory with the 55 Ah battery.
SP-060,Electrical,"Battery type (1985 FSM, JIS)",50D20L : 50 Ah; 65D23L : 55 Ah (20-hour rate),,S-002,p.5-3,primary,"1985 data, JIS size codes; measure the 1982 battery tray and hold-down before buying."
SP-061,Electrical,Battery type (1980 FSM),NS70S 55 Ah (automatic and Canada); G60-5 / Y60-5 / N50-S / K60-5 45 Ah (manual),,S-003,T:3,primary,Specific gravity fully charged 1.260 (G60/Y60/N50/K60) or 1.280 (NS70S); recharge at 1.200/1.220.
SP-062,Electrical,Battery BCI group (retail fitment),Group 35 predominant; 26R also listed,,S-022,,unverified,"Retail listing for 1985 RX-7, not a Mazda figure; no factory CCA published. Verify tray/hold-down before buying."
SP-063,Electrical,"Fusible link, MAIN","1.25 sq mm (black), battery + to fuse block / ignition switch (WR wire)",,"S-001,S-002",S-001 PDF p.9-10; S-002 p.15-13,primary,"1985 FSM locates the links at the front left suspension tower; 12A vehicles carry three links: MAIN 1.25sq, HEADLIGHT 0.3sq, RETRACTOR 0.3sq."
SP-064,Electrical,"Fusible link, HEADLIGHT","0.3 sq mm (brown), battery to headlight circuit (WR wire, section E)",,"S-001,S-002",S-001 PDF p.9 and p.20; S-002 p.15-13,primary,
SP-065,Electrical,"Fusible link, RETRACTOR / light switch","0.3 sq mm (brown), battery to light switch and retractable-headlight relay (WG wire)",,"S-001,S-002",S-001 PDF p.9 and p.20; S-002 p.15-13,primary,
SP-066,Electrical,"Fusible link, ignition (IG) line",0.5 sq mm (green) on BW wire after ignition switch IG terminal,,"S-001,S-002",S-001 PDF p.9-10; S-002 p.15-13 (0.5sq = green),primary,Second 0.5 sq link protects the hot-start relay / hot-start motor circuit (S-001 PDF p.10).
SP-067,Electrical,Starter motor rating (A/T),2.0 kW (M/T 1.2 kW),kW,"S-002,S-003",S-002 p.5-3; S-003 T:3,primary,Reduction-type starter with magnetic switch.
SP-068,Electrical,Starter free-running test (A/T),"11.5 V, less than 100 A, 3500 rpm min (1985) / 6600 rpm min (1980)",,"S-002,S-003",S-002 p.5-3; S-003 T:3,primary,
SP-069,Electrical,"Starter lock test (A/T, 1980 spec)","5.0 V, less than 1050 A, 2.2 m-kg (15.9 ft-lb)",,S-003,T:3,primary,Only published starter-current figure found; treat as worst-case cranking draw for cable sizing. M/T starter: less than 600 A.
SP-070,Electrical,Starter solenoid pull-in voltage,less than 8 V to close contacts,V,S-003,T:3,primary,
SP-071,Electrical,Starter brush wear limit,11.5 (0.45),mm (in),"S-002,S-003",S-002 p.5-3; S-003 T:3,primary,Standard 17 mm (1985) / 18.5 mm (1980).
SP-072,Electrical,Instrument feed,"10A fuse (GY) from IG feeds oil-pressure, fuel and water-temp gauges through the instrument voltage regulator; voltmeter and tacho direct",,S-001,PDF p.16 (sect C),primary,"Sender units: fuel tank unit (Y), water temp (YW), oil pressure (BrY). Oil level sensor and coolant level sensor drive warning lights via oscillator C-10."
SP-073,Electrical,Warning-light / chime module,"Control Processing Unit (CPU) drives seat-belt, key reminder, lights-on chime; test-light bulb must not exceed 3.4 W on CPU circuits",,"S-001,S-002,S-006",S-001 PDF p.26; S-002 p.15-3 and 15-12; S-006 PDF p.18,primary,
SP-074,Electrical,Wiring colour code convention,"Two letters: base colour then stripe (B black, Br brown, G green, L blue, Lb light blue, Lg light green, R red, Y yellow, W white, O orange, Gy grey, P pink)",,"S-001,S-002",S-001 PDF p.7; S-002 p.15-4,primary,"Schematic line styles: solid = battery feed, dashed = IG feed, dash-dot = ACC feed (S-001 PDF p.9 legend)."
SP-075,Electrical,Headlamp retractor motors,"Two DC motors (LH/RH) with up/down limit switches, fed through retractable-headlight relay (WG) and light switch",,S-001,PDF p.20 (sect E),primary,Retractor indicator lamp 3.4 W in cluster.
SP-076,Electrical,Horn relay,"Yes - horn relay (F-16) fed by 15A STOP/HORN fuse (GW), two horns (LH/RH)",,S-001,PDF p.22 (sect F),primary,
SP-077,Charging,Alternator type,"Integral IC regulator, B/L/R/F terminals, B terminal fed direct from battery via 1.25 sq main fusible link",,"S-002,S-001,S-005",S-002 p.5-3 and 5-6; S-001 PDF p.10; S-005 group 1830A,primary,Charge-lamp/L terminal (WB) also drives the choke and check relay. Type number A5T30574 in the 1985 FSM is Mitsubishi numbering; maker not stated in the parts catalogue.
SP-078,Charging,"Alternator rated output (1985 FSM, 12A)",12 V - 55 A (Mitsubishi A5T30574),V-A,S-002,p.5-3,primary,"13B in 1985 used A5T40374 12V-60A. Output test hot: more than 51 A at 13.5 V, 2500 alternator rpm. 1982 rating not printed in any Mazda document found - see next two rows."
SP-079,Charging,Alternator rated output (1980 FSM),12 V - 55 A; load test 39 A at 13.5 V; 12 poles,V-A,S-003,T:3,primary,"Pre-facelift car; suggests the FB carried a 55 A-class Mitsubishi throughout, contradicting the 50 A figure below."
SP-080,Charging,"Alternator rated output, 1981-85 base cars (enthusiast chart)",50 A (60 A on GSL-SE),A,S-014,,unverified,rx7.org cross-reference chart; no part number. Read the rating stamped on the car's own alternator before sizing PMU charge input.
SP-081,Charging,Regulated voltage,14.2-15.2,V,S-002,p.5-3,primary,IC regulator; 1980 external-regulator value not published.
SP-082,Charging,Alternator rotor coil resistance,2.0-2.6,ohm,S-002,p.5-15,primary,Between slip rings.
SP-083,Charging,Alternator brush length,standard 16.5 mm (0.65 in); wear limit 8 mm (0.31 in),mm,"S-002,S-003",S-002 p.5-3; S-003 T:3,primary,1980 standard 18 mm.
SP-084,Charging,Charging (IG) feed fuse,15A ENGINE fuse (BW) supplies alternator IG/R terminal,A,S-001,PDF p.9 and p.10,primary,
SP-085,Drivetrain,Final drive ratio,3.909,,"S-004,S-002,S-003",S-004 p.14; S-002 p.9-2; S-003 T:5,primary,43-tooth ring gear (S-002 p.9-2). 13B cars used 4.076.
SP-086,Drivetrain,Rear axle type,"Banjo housing, semi-floating shafts, hypoid gear, straight-bevel differential; open diff on GS (LSD standard GSL)",,"S-002,S-004",S-002 p.9-2; S-004 p.15,primary,
SP-087,Drivetrain,Differential oil,"API GL-5, SAE 90 above -18 C (0 F), SAE 80W below; LSD requires GL-5 SAE 90 limited-slip lubricant",,"S-002,S-003",S-002 p.9-2 and 0-24; S-003 T:5,primary,
SP-088,Drivetrain,Differential oil capacity,1.2 (1.3 US qt) open diff; 1.6 (1.7 US qt) LSD,L,"S-002,S-003",S-002 p.9-2; S-003 T:5,primary,
SP-089,Drivetrain,Rear wheel bearing end play,0-0.1 (0-0.004),mm (in),S-003,T:5,primary,
SP-090,Drivetrain,Propeller shaft run-out limit,0.4 (0.016),mm (in),S-003,T:5,primary,
SP-091,Drivetrain,Live axle location,"4-link with Watt linkage, coil springs, rear stabilizer bar",,"S-004,S-002",S-004 p.14; S-002 p.13-2,primary,
SP-092,Transmission,Automatic gear ratios,"1st 2.458, 2nd 1.458, 3rd 1.000, reverse 2.181",,"S-004,S-003",S-004 p.14; S-003 T:4,primary,Brochure and 1980 FSM (3N71B) agree.
SP-093,Transmission,ATF type,ATF Type F (Ford M2C33-F),,"S-002,S-003",S-002 p.0-24; S-003 T:4,primary,"Check level engine idling, warm, selector in P, between L and F marks."
SP-094,Transmission,"ATF capacity (3N71B, 1980 FSM)",6.2 (6.6 US qt),L,S-003,T:4,primary,1985 L4N71B (with OD) holds 7.5 L - not applicable to the 1982 3-speed.
SP-095,Transmission,Torque converter stall speed (1980 3N71B),2300-2550 after break-in (2250-2500 during break-in),rpm,S-003,T:5,primary,
SP-096,Transmission,"Manual gear ratios (for reference, 5-speed)","3.674 / 2.217 / 1.432 / 1.000 / 0.825, reverse 3.542",,"S-004,S-003",S-004 p.14; S-003 T:4,primary,Not fitted to this car.
SP-097,Transmission,A/T electrical,"Inhibitor (neutral safety) switch A-06 (BY/GY, BW/RW), kick-down solenoid fed by 15A ENGINE fuse, select-lever illumination 3.4 W",,S-001,"PDF p.10, p.12, p.20",primary,
SP-098,Suspension,Front suspension,"Independent MacPherson strut, coil springs, stabilizer bar, tension rods",,"S-004,S-002",S-004 p.14; S-002 p.13-2,primary,
SP-099,Suspension,Rear suspension,"Live axle, 4-link, Watt linkage, coil springs, stabilizer bar, double-acting shocks",,"S-004,S-002",S-004 p.14; S-002 p.13-2,primary,
SP-100,Suspension,Front coil spring (1985 spec),"wire dia 12.0 mm, coil dia 123 mm",,S-002,p.13-2,primary,"1980 spec: rate 2.16 kg/mm, free length L 334.5 / R 325 mm (S-003 T:7)."
SP-101,Suspension,Rear coil spring (1980 spec),"rate 1.8 kg/mm, free length 323.5 mm",,S-003,T:7,primary,1985 FSM lists 6.05 active coils.
SP-102,Suspension,Front wheel alignment: toe-in,3 +/-3 (0.12 +/-0.12),mm (in),"S-002,S-003",S-002 p.10A-3; S-003 T:6,primary,1980: 0-6 mm.
SP-103,Suspension,Front wheel alignment: camber,1 deg 00' +/-30',,"S-002,S-003",S-002 p.10A-3; S-003 T:6,primary,13-inch-tyre cars; 14-inch (GSL-SE) 0 deg 35'.
SP-104,Suspension,Front wheel alignment: caster (1985 spec),"RH 4 deg 10' +/-30', LH 3 deg 40' +/-30'",,S-002,p.10A-3,primary,"DISAGREES with 1980 spec RH 4 deg 30', LH 4 deg 00' (S-003 T:6). Use the alignment shop's database for 1982 and check against both."
SP-105,Suspension,King-pin inclination / trail,10 deg 44' / 20 mm (0.79 in),,"S-002,S-003",S-002 p.10A-3; S-003 T:6,primary,
SP-106,Suspension,"Ride height, 1980 spec (ground to wheel-arch reference)","front 364 +/-20 mm, rear 358 +/-20 mm",mm,S-003,T:7,primary,1980 body; check applicability to 1982.
SP-107,Steering,Steering gear,"Recirculating ball-nut, variable ratio 17.0-20.0 : 1, manual",,"S-004,S-002,S-003",S-004 p.14; S-002 p.10A-3; S-003 T:6,primary,Power steering not offered on 1982 GS.
SP-108,Steering,Turns lock-to-lock / turning diameter,3.7 turns; 31.5 ft turning diameter,,S-004,p.14,primary,1980 FSM minimum turning radius 4.8 m (15 ft 9 in) agrees.
SP-109,Steering,Steering wheel free play,5-20 (0.2-0.8),mm (in),S-002,p.10A-3,primary,1980 limit 40 mm.
SP-110,Steering,Maximum wheel angle,"inside 39 deg 40' +/-2 deg, outside 32 deg 14' +/-2 deg",,"S-002,S-003",S-002 p.10A-3; S-003 T:6,primary,
SP-111,Steering,Steering gear oil,"API GL-4 SAE 90, 0.325 L (1985) / 290 cc (1980)",,"S-002,S-003",S-002 p.10A-3; S-003 T:6,primary,
SP-112,Brakes,Brake layout (GS),"Power-assisted front discs, self-adjusting rear drums, dual diagonal hydraulic circuits, differential proportioning valve",,"S-004,S-002",S-004 p.14-15; S-002 p.11-2,primary,GSL: 4-wheel discs. 1985 rear disc caliper bore 34.93 mm if ever retrofitted.
SP-113,Brakes,Front disc,202 mm effective dia x 18 mm thick; wear limit 17 mm (0.6693 in); lateral run-out max 0.1 mm,,"S-002,S-003",S-002 p.11-2 and 11-7; S-003 T:6,primary,
SP-114,Brakes,Front caliper piston bore,50.80 (2.0),mm (in),"S-002,S-003",S-002 p.11-2; S-003 T:6,primary,Single-piston sliding caliper; pad lining limit 1 mm (S-002 p.11-8).
SP-115,Brakes,Rear drum,"200 mm (7.874 in) dia, limit 201 mm; leading/trailing shoes, self-adjuster; lining limit 1.0 mm",,"S-002,S-003",S-002 p.11-2; S-003 T:6,primary,
SP-116,Brakes,Rear wheel cylinder bore,19.05 (0.75),mm (in),"S-002,S-003",S-002 p.11-2; S-003 T:6,primary,
SP-117,Brakes,Master cylinder,"Tandem with fluid-level sensor, bore 20.64 mm (0.813 in)",,"S-002,S-003",S-002 p.11-2; S-003 T:6,primary,Level sensor feeds the brake warning light via checker C-03 (S-001 PDF p.16).
SP-118,Brakes,Brake booster,"Vacuum multiplier, 8 in",,S-002,p.11-2,primary,Brochure p.14 also mentions the vacuum servo (text cropped in scan).
SP-119,Brakes,Brake fluid,DOT-3 or DOT-4 (FMVSS 116) or SAE J1703a,,S-002,p.11-2 and 0-21,primary,
SP-120,Brakes,Brake pedal,free play 7-9 mm (0.28-0.35 in); height 190 +5/-0 mm (7.48 in) from floor,,"S-002,S-003",S-002 p.11-2; S-003 T:6,primary,
SP-121,Brakes,Parking brake,"Mechanical on rear wheels, floor lever; 3-7 notches at 10 kg (22 lb) pull (1980 spec)",,"S-002,S-003",S-002 p.11-2; S-003 T:6,primary,
SP-122,Brakes,Stop-lamp checker,Stop light checker F-03 lights cluster warning if a stop bulb fails,,"S-001,S-006",S-001 PDF p.22 and p.16; S-006 PDF p.21 (printed 27),primary,Added for 1981.
SP-123,Wheels,Bolt pattern,4 x 110 mm (4 x 4.33 in),,S-021,,unverified,Enthusiast table only; 1985 FSM wheel section on the server was corrupt so no Mazda page was captured. Universally reported for 1979-85.
SP-124,Wheels,Wheel stud thread,M12 x 1.5,,S-023,,secondary,Rotary-specialist vendor lug nut listing 'fits all RX-7'.
SP-125,Wheels,Wheel nut torque,9-11 m-kg (65-80 ft-lb),,S-003,T:8 ('Wheel bolts'),primary,1980 FSM tightening-torque table; no 1981-85 Mazda page captured. Re-torque after 50 miles.
SP-126,Wheels,"Standard wheel, GS",5J x 13 styled steel wheel (WDC),,"S-004,S-003",S-004 p.14; S-003 T:6,primary,"GSL: 5.5JJ x 13 aluminium, optional on GS/S with 185/70HR13."
SP-127,Wheels,Wheel offset (stock),ET 20 (5Jx13 and 5.5Jx13),mm,S-020,,unverified,wheel-size.com listing; not confirmed by a Mazda document.
SP-128,Wheels,"Tyre size, GS",185/70HR13 (S: 165HR13); compact spare,,"S-004,S-003",S-004 p.14-15; S-003 T:6,primary,
SP-129,Wheels,Tyre pressure (1980 FSM),1.8 kg/cm2 (26 psi) front and rear,,S-003,T:6,primary,Verify against the 1982 door-jamb placard.
SP-130,Wheels,Wheel run-out limit,"radial 1.0 mm, lateral 1.0 mm (steel); 0.5 mm aluminium",mm,S-003,T:6,primary,
SP-131,Dimensions,Wheelbase,95.3 (2420),in (mm),"S-004,S-003",S-004 p.14; S-003 T:7,primary,
SP-132,Dimensions,"Track, front / rear",55.9 / 55.1,in,S-004,p.14,primary,1980 FSM: 1420 / 1400 mm (56 / 55 in).
